27	45	41	37	20	20
45	25	17	39	36	10
13	41	22	14	4	4
19	10	1	28	5	6
44	12	19	29	30	5
38	28	31	10	27	3
11	24	30	18	13	9
1	12	42	4	8	16
42	41	21	31	19	16
19	32	31	10	2	13
22	25	37	18	23	14
22	21	42	27	15	9
6	25	17	11	9	11
24	28	15	17	33	6
23	43	11	4	34	10
9	43	14	10	17	1
1	21	9	26	34	4
12	13	18	32	34	13
16	42	27	39	7	19
18	24	29	2	27	6
41	15	33	19	31	8
20	34	43	40	44	15
13	12	31	27	2	17
8	39	41	20	31	18
37	19	10	13	9	5
39	20	17	41	33	3
3	30	25	13	21	17
7	45	4	20	18	8
28	45	20	34	17	2
16	23	18	40	13	12
37	27	22	2	41	6
19	28	14	42	13	14
24	16	43	30	42	13
35	15	34	40	36	14
15	14	13	35	9	3
43	41	7	29	23	18
12	42	27	18	30	7
5	25	26	11	20	3
9	21	3	14	5	10
20	28	44	32	10	3
41	24	44	19	5	11
3	21	32	22	4	4
33	16	5	24	29	15
22	24	9	35	7	5
29	17	44	22	31	4
34	44	27	13	29	1
3	8	25	39	6	19
2	24	18	27	39	9
5	3	36	33	27	7
18	40	6	43	41	11
26	24	9	39	16	17
29	13	23	38	21	18
32	35	39	37	16	8
39	42	1	11	16	3
41	23	19	32	22	16
28	3	43	29	35	6
34	20	44	40	17	13
23	16	25	31	21	10
3	23	36	38	15	9
24	23	45	6	42	15
17	31	12	40	10	4
39	19	16	38	29	11
42	36	34	12	32	16
44	27	20	2	36	7
44	16	33	19	41	17
5	33	40	7	9	7
20	18	16	17	38	3
36	39	16	7	19	2
29	40	21	44	26	4
25	23	1	11	29	17
21	39	43	31	38	10
40	26	13	27	6	16
29	28	20	22	37	17
4	42	45	13	24	15
2	22	39	12	34	13
38	15	17	29	21	2
40	15	39	33	34	10
32	21	7	20	31	8
19	34	44	3	17	10
42	20	31	36	6	3
44	19	28	4	13	11
45	38	13	24	10	8
3	44	28	32	20	1
33	5	9	36	16	19
20	32	36	4	14	2
1	35	20	2	21	2
2	33	17	41	3	17
42	12	22	28	4	16
20	28	16	39	4	11
20	42	34	18	2	20
39	19	38	14	40	18
17	43	37	33	31	18
6	19	8	10	14	3
6	24	5	15	44	8
45	35	44	13	30	10
1	29	43	32	5	15
9	13	12	36	31	17
37	28	8	14	25	9
31	30	42	24	25	16
1	27	24	40	32	18
8	30	7	11	10	15
32	26	44	24	36	7
25	10	17	39	38	7
8	1	24	9	2	6
36	41	33	2	9	20
