30	5	41	31	26	17
31	1	35	3	42	7
12	39	13	34	20	11
11	28	5	9	31	19
14	1	41	27	39	2
33	42	14	34	10	6
15	45	40	8	22	6
12	30	17	36	28	8
45	43	14	29	35	1
43	33	2	31	35	20
45	11	13	38	25	11
34	3	16	40	26	8
10	36	24	17	41	9
25	5	39	2	3	13
22	37	6	16	26	9
3	4	21	30	25	10
12	21	17	23	20	15
31	34	11	12	24	10
10	18	2	19	16	9
25	34	2	18	22	17
28	34	11	9	3	4
9	41	8	23	35	3
11	13	10	36	21	3
41	23	40	28	12	4
27	45	40	11	5	10
2	33	20	6	34	1
15	44	11	19	32	1
43	41	40	24	12	19
6	30	39	14	36	2
16	30	28	45	2	20
42	14	27	12	3	18
24	13	12	31	6	17
12	21	31	43	4	20
40	23	42	29	16	15
14	19	10	21	40	2
10	32	44	4	18	2
23	44	15	35	34	3
38	12	44	27	37	10
15	30	17	32	4	4
16	32	18	31	14	13
39	38	44	37	27	1
35	38	39	11	34	17
32	9	34	5	2	5
21	34	12	19	8	8
14	40	7	5	29	4
2	41	35	20	33	7
29	5	15	32	44	18
38	23	13	18	3	4
40	32	33	14	35	8
8	23	45	33	2	19
18	34	37	12	5	12
18	1	8	4	39	6
24	16	21	19	17	5
23	5	33	25	22	17
12	21	37	8	35	4
37	24	23	30	8	15
26	43	18	45	12	19
26	21	8	12	7	4
31	42	1	30	15	7
6	22	2	31	18	2
19	7	29	37	18	11
40	10	16	29	34	5
43	26	7	8	6	7
34	15	17	9	24	15
23	10	5	3	44	13
9	15	41	27	35	8
9	37	14	43	40	15
39	24	18	30	38	15
21	45	7	14	44	19
8	17	29	14	15	17
43	39	23	28	24	12
27	4	30	26	44	5
38	20	41	34	45	13
15	43	35	5	12	1
2	29	6	20	16	6
36	19	17	8	26	1
43	31	14	6	42	17
5	10	44	20	9	16
22	1	21	43	41	9
1	5	27	43	42	15
21	31	14	19	32	4
22	40	27	10	17	10
43	24	5	27	14	4
5	27	24	35	31	3
27	44	39	26	3	8
20	14	31	21	30	5
38	34	11	27	40	15
15	16	43	2	28	10
2	1	19	4	16	12
38	27	45	21	14	8
32	25	27	37	26	4
20	27	32	34	6	10
25	17	4	28	30	10
9	14	1	11	5	8
41	5	19	44	12	2
3	14	13	27	31	4
35	25	32	33	41	19
10	5	26	11	21	10
31	37	39	15	45	5
18	29	14	5	4	8
32	5	38	29	36	15
42	20	6	13	39	5
25	44	24	12	43	3
7	16	38	1	13	2
