48	14	38	12	4	39	21
43	9	38	47	23	10	29
42	6	22	29	41	19	32
6	10	39	40	37	46	25
48	4	13	24	30	45	33
4	47	15	25	22	43	24
31	46	39	16	25	32	33
8	31	3	33	40	45	18
11	13	41	38	20	36	16
40	32	37	9	6	49	42
7	48	32	34	3	13	22
26	22	34	10	49	3	19
39	42	35	30	13	6	1
30	6	27	34	49	22	44
1	24	15	23	27	7	25
19	33	44	37	47	7	3
23	43	1	49	46	26	13
35	12	30	21	15	31	23
38	49	14	46	40	21	44
45	17	29	46	10	33	11
1	16	30	38	29	48	11
32	7	2	26	12	15	44
30	9	18	11	34	6	19
34	38	37	27	3	18	43
29	15	21	32	44	3	28
46	25	13	18	1	44	7
6	2	5	7	1	22	42
41	36	30	4	43	19	7
11	37	10	23	1	28	21
30	44	47	38	49	12	31
18	11	5	2	9	20	37
39	37	3	24	12	36	33
22	44	12	47	10	11	4
20	23	44	25	31	4	27
34	41	40	5	45	33	37
8	43	35	25	34	42	37
29	40	4	7	34	16	18
49	18	31	9	27	34	5
6	24	25	17	29	20	14
7	49	27	4	47	39	19
17	18	15	43	23	27	35
10	41	23	32	43	31	37
41	48	27	30	34	15	1
21	17	18	38	7	36	46
44	42	15	41	31	5	45
14	2	17	47	28	24	39
11	32	48	1	46	15	43
37	40	32	46	11	1	10
30	48	28	42	36	35	1
19	39	36	1	11	47	20
12	41	22	46	18	10	49
10	34	40	11	12	48	31
45	26	41	18	38	35	31
3	5	46	37	39	10	36
37	17	26	38	45	43	41
40	7	49	48	11	6	18
39	32	35	27	31	7	6
25	48	43	6	30	39	11
15	46	5	48	42	18	39
4	31	35	40	32	2	26
33	34	17	26	3	2	15
45	19	33	30	23	17	1
2	13	28	49	41	27	45
20	39	7	28	25	33	6
34	42	47	40	6	17	18
24	7	42	5	15	48	9
35	17	41	30	14	18	43
5	42	31	37	9	30	48
39	14	43	23	6	19	22
45	6	27	29	22	46	18
14	26	40	32	39	7	28
26	48	10	49	6	34	23
18	12	47	6	25	2	35
15	49	14	38	37	36	48
11	25	48	6	49	27	31
19	46	42	22	5	45	3
47	17	2	21	39	22	31
5	33	46	14	26	15	8
49	23	46	34	16	42	14
35	6	13	42	11	2	37
37	20	26	42	39	25	18
15	32	36	18	39	25	19
39	43	6	46	21	40	41
41	29	6	27	3	31	1
15	22	43	44	32	6	34
39	25	7	34	45	42	27
41	6	16	32	14	20	7
33	43	44	35	26	5	4
13	21	49	9	42	34	8
26	45	48	10	20	30	35
46	45	47	9	36	34	12
42	18	41	16	24	49	17
23	5	29	14	20	38	46
16	29	3	8	5	35	47
23	42	39	36	47	38	8
15	11	24	20	3	13	41
18	9	14	13	11	39	45
38	7	23	13	36	20	14
21	24	8	29	25	33	28
14	18	16	9	23	48	46
8	2	40	21	24	16	23
8	27	26	42	33	16	38
48	22	24	27	28	38	33
18	36	10	29	41	27	49
30	49	7	32	15	36	9
